NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Drewniany plac zabaw dla dzieci,50.8891808169,20.5759280920,7470162.633,5639408.815,"obręb 0008, działka 237",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,393
Budowa schodów i barierki ochronnej dla pieszych z uwzględnieniem ruchu osób niepełnosprawnych w celu połączenia górnej części ulicy Podklasztorna z dolną częścią Podklasztorna ciągiem pieszym,50.8672270559,20.5932068825,7471364.899,5636959.908,"Wzgórze Karczówka, pomiędzy górnym obszarem ulicy Podklasztorna, a dolnym obszarem ulicy Podklasztorna",,ZADANIE ODRZUCONE,
"Budowa krzyża o wysokości ok. 30 m z impregnowanego dębu powlekanego blachą miedzianą lub inną. Jednocześnie sugerujemy, aby do 6 metra od podstawy krzyż był wykonany ze stali nierdzewnej, a pozostała część jw.",50.8653175444,20.5636221170,7469281.113,5636759.387,Brusznia - Białogon,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5078
"Zabudowa małej architektury - ścieżka zdrowia - elementy: kolejka z wagonem, wieża ze zjeżdżalnią, zestaw sportowy (płotki, równoważnie) wieża ze ścianą  wspinaczkową",50.8805000617,20.5834972858,7470689.747,5638440.163,"obręb 008, działka nr 869/16, teren Przedszkola Samorządowego Nr 34 w Kielcach - oddziały przy ul.Szajnowicza Iwanowa 15 północna część działki",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,654
Budowa placu zabaw dla dzieci,50.8616337267,20.5873113871,7470946.427,5636340.028,"Przedszkole Samorządowe nr 14 im.Marii Kownackiej, ul.Kalcytowa 15, 25-705 Kielce, nr działki: 408/1, 408/2, 408/3, 408/4, 408/5.",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5101
Bezpieczne przejście dla pieszych przy ul.Raciborskiego 45 i budowa miejsc parkingowych z płyt ażurowych w pasie drogowym tej ulicy,50.8853770515,20.5756062269,7470137.555,5638985.825,"obręb br 0008, działka nr 425/6, ul.Raciborskiego 45 oraz 20",,ZADANIE ODRZUCONE,
Wykonanie siłowni zewnętrznej - terenowej dla młodzieży i dorosłych,50.8827846278,20.6321418285,7474114.231,5638676.112,"nieruchomość przy ul.Wiosennej 3,5,7. Działka nr 1034 obręb 0010 (róg ul.Wiosennej i Jaworowej)",,ZADANIE ODRZUCONE,
Budowa placu zabaw (montaż urządzeń zabawowych i urządzeń do ćwiczeń siłowych) na terenie nieruchomości Nowowiejska 22 i 24,50.8836848853,20.6386542320,7474572.990,5638773.991,nieruchomość przy ul.Nowowiejska 22 i 24. Działka ewidencyjna nr 1041 obręb 0010,,ZADANIE ODRZUCONE,
Remont chodnika przez wymianę płyt chodnikowych betonowych oraz podsypki piaskowej,50.8828252413,20.6394910812,7474631.410,5638678.079,"obręb 010 działki 757/12, 9, 7, 5, 4 od strony osiedla Sady ulicy Warszawskiej - od ulicy Jesionowej do Pocieszka",,ZADANIE ODRZUCONE,
Nowy chodnik na ul.Curie-Skłodowskiej,50.8869270219,20.6120896339,7472705.605,5639144.120,"obręb 0009, działka nr: 285/12, ul.M.Skłodowskiej-Curie po stronie północno-wschodniej na długości o ul.Poprzecznej do ul.Częstochowskiej",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,92
Przebudowa placu zabaw i rozbudowa o siłownię zewnętrzną na osiedlu Słoneczne Wzgórze,50.8863584798,20.6521403790,7475523.376,5639066.837,"przy ul.Orzeszkowej 24, nr dz. 275/197, 275/202, 275/200, nr obrębu 0011",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1608
Nowy chodnik na ul.Poprzecznej,50.8880776216,20.6107592583,7472612.672,5639272.602,"obręb 0009, działki nr: 302/1, 302/3, 340/4, 285/12; ul.Poprzeczna po obu stronach od ul.1-go Maja do ul.Górniczej",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,73
Budowa przystanku 1 Maja Herbski Most - przystanek w kierunku Herbów za skrzyżowaniem z Jagiellońską,50.8834242862,20.6175076962,7473084.815,5638752.497,"obręb 0009, działki nr: 1641/17, 1641/16; ul.1 Maja 134, po stronie północno-wschodniej",,ZADANIE ODRZUCONE,
Równo pod zegarem - przebrukowanie chodnika przy ul.Paderewskiego,50.8735779888,20.6247389317,7473588.095,5637654.615,"obręb 0016, działka nr: 134/4, na wysokości posesji o adresie: ul.Paderewskiego 43/45 - naprzeciwko skweru im.Ireny Sendlerowej",,ZADANIE ODRZUCONE,
Zielone światło dla osób niewidzących - przystosowanie przejść dla pieszych do potrzeb osób z niepełnosprawnością,50.8716433480,20.6316187978,7474071.244,5637436.974,Miasto Kielce - wszystkie przejścia dla pieszych z sygnalizacją świetlną niewyposażoną w system informacji akustycznej dla niewidomych,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,612
"Nowy wspaniały przystanek - budowa kolejnego przystanku autobusowego za 400 tys.zł, w takim samym stylu, jak nowe przystanki - na ul.Grunwaldzkiej róg Jagiellońskiej (w kierunku Ślichowic)",50.8717516764,20.6139403582,7472827.002,5637455.379,"obręb 0015, działka nr 108/7, północna strona ul.Grunwaldzkiej w pobliżu skrzyżowania z ul.Jagiellońską. Przystanek nr 161 ""Grunwaldzka/Jagiellońska""",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,156
"Rogatka Krakowska przyjazna dla rowerzystów, pieszych i komunikacji zbiorowej",50.8662384533,20.6290841103,7473889.820,5636836.644,"skrzyżowanie ulicy Seminaryjskiej z ulicą Jana Pawła II oraz z ulicą Wesołą obręb 0017, działki nr 1224/2, 1236/2, 1319/15; obręb 0016, działka nr 592/8, 592/12, 522/6 i sąsiednie działki drogowe",,ZADANIE ODRZUCONE,
Parking wielopoziomowy naszych marzeń - parking przesiadkowo-postojowo-wielopoziomowy przy skrzyżowaniu ul.Grunwaldzkiej z al.Szajnowicza-Iwanowa,50.8800160578,20.5908679962,7471208.141,5638383.424,"okolice skrzyżowania ul.Grunwaldzkiej z al.Szajnowicza-Iwanowa, po stronie południowo-wschodniej, obręb 0009, działki nr 494/3 i 479/27",,ZADANIE ODRZUCONE,
Uspokojenie ruchu na ul.Skłodowskiej-Curie - wyeliminowanie tranzytu przez uliczkę osiedlową przez zastosowanie odpowiednich rozwiązań technicznych i organizacji ruchu,50.8881249986,20.6088924408,7472481.349,5639278.566,"Miasto Kielce: pas drogowy ul.M.Skłodowskiej-Curie między ul.Częstochowską a ul.1 Maja, pas drogowy ul.1Maja oraz ul.Poprzecznej, obręb: 0009, działki 285/11, 285/12, 285/9, 302/1, 302/3, 340/4",,ZADANIE ODRZUCONE,
Bezpiecznie i wygodnie rowerem wokół Osiedla Na Stoku,50.8972949294,20.6715917587,7476897.451,5640277.111,"Pas drogowy ulic: Sikorskiego i Jana Nowaka - Jeziorańskiego obręb: 0007, działka nr 835/2, 844/34, 876/12 - 876/23",,ZADANIE ODRZUCONE,
